name,model_type,metric_type,metric_value,train_time
111_LightGBM_Stacked,LightGBM,accuracy,0.9829351535836177,13.75
62_NeuralNetwork_Stacked,Neural Network,accuracy,0.9044368600682594,12.53
38_CatBoost_Stacked,CatBoost,accuracy,0.9829351535836177,35.3
40_RandomForest_SelectedFeatures_Stacked,Random Forest,accuracy,0.8976109215017065,17.89
98_ExtraTrees_Stacked,Extra Trees,accuracy,0.8907849829351536,19.83
20_Xgboost_Stacked,Xgboost,accuracy,0.9931740614334471,10.49
110_LightGBM_Stacked,LightGBM,accuracy,0.9829351535836177,10.87
99_NeuralNetwork_Stacked,Neural Network,accuracy,0.9795221843003413,11.53
104_CatBoost_Stacked,CatBoost,accuracy,0.9829351535836177,34.31
40_RandomForest_Stacked,Random Forest,accuracy,0.9044368600682594,17.11
49_ExtraTrees_Stacked,Extra Trees,accuracy,0.9897610921501706,13.93
93_Xgboost_Stacked,Xgboost,accuracy,0.9897610921501706,12.57
87_LightGBM_Stacked,LightGBM,accuracy,0.9863481228668942,11.61
8_Default_NeuralNetwork_Stacked,Neural Network,accuracy,0.9590443686006825,18.05
77_CatBoost_GoldenFeatures_Stacked,CatBoost,accuracy,0.9795221843003413,28.45
119_RandomForest_Stacked,Random Forest,accuracy,0.9453924914675768,17.26
83_ExtraTrees_Stacked,Extra Trees,accuracy,0.9897610921501706,15.56
92_Xgboost_Stacked,Xgboost,accuracy,0.9931740614334471,12.97
80_LightGBM_Stacked,LightGBM,accuracy,0.9863481228668942,14.61
60_NeuralNetwork_Stacked,Neural Network,accuracy,0.9761092150170648,11.84
31_CatBoost_Stacked,CatBoost,accuracy,0.9761092150170648,18.15
107_RandomForest_Stacked,Random Forest,accuracy,0.9522184300341296,18.27
53_ExtraTrees_Stacked,Extra Trees,accuracy,0.9078498293515358,16.29
91_Xgboost_Stacked,Xgboost,accuracy,0.9931740614334471,11.51
90_LightGBM_Stacked,LightGBM,accuracy,0.9863481228668942,17.37
100_NeuralNetwork_Stacked,Neural Network,accuracy,0.9556313993174061,15.49
38_CatBoost_GoldenFeatures_Stacked,CatBoost,accuracy,0.9897610921501706,37.96
85_RandomForest_Stacked,Random Forest,accuracy,0.9010238907849829,20.93
113_ExtraTrees_Stacked,Extra Trees,accuracy,0.9931740614334471,22.93
12_Xgboost_Stacked,Xgboost,accuracy,0.9931740614334471,15.03
29_LightGBM_Stacked,LightGBM,accuracy,0.9829351535836177,17.4
61_NeuralNetwork_Stacked,Neural Network,accuracy,0.9590443686006825,22.03
74_CatBoost_Stacked,CatBoost,accuracy,0.9863481228668942,19.02
109_RandomForest_SelectedFeatures_Stacked,Random Forest,accuracy,0.9283276450511946,28.03
108_ExtraTrees_Stacked,Extra Trees,accuracy,0.9863481228668942,21.19
120_Xgboost_Stacked,Xgboost,accuracy,0.9863481228668942,22.48
21_LightGBM_Stacked,LightGBM,accuracy,0.9829351535836177,23.24
64_NeuralNetwork_Stacked,Neural Network,accuracy,0.7747440273037542,29.55
106_CatBoost_Stacked,CatBoost,accuracy,0.9829351535836177,50.82
79_RandomForest_SelectedFeatures_Stacked,Random Forest,accuracy,0.9180887372013652,17.78
88_ExtraTrees_Stacked,Extra Trees,accuracy,0.8976109215017065,15.27
6_Default_Xgboost_Stacked,Xgboost,accuracy,0.9863481228668942,13.2
